ID,Unnamed: 0.1,ID_img,timestamp,x,y,fix,nSat,hErr,alt,altU,h,hU,dgpsAge,checksum,date,typename,subcategory,detail,Measurement,note,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
223,444,216,120213.9,590739.7008,6136725.018,4,14,0.8,23.255,M,39.413,M,1.9,0013*77,,Downspout Grille,Square,,GNSS,,,,1034152757,,
224,442,214,120044.15,590735.1309,6136726.928,4,14,0.8,23.262,M,39.413,M,1.1,0013*72,,Downspout Grille,Square,,GNSS,,,,,,
225,440,211,115845.95,590719.303,6136723.004,4,15,0.8,23.464,M,39.413,M,0.9,0013*71,,Downspout Grille,Square,,GNSS,,,,1103669801,,
226,439,210,115832.15,590718.9999,6136725.227,4,15,0.8,23.419,M,39.413,M,1.1,0013*77,,Downspout Grille,Square,,GNSS,,,,1034152750,,
227,462,208,121102.3,590709.9892,6136714.104,4,12,1,22.383,M,39.413,M,1.3,0013*75,,Downspout Grille,Square,,GNSS,,,,1103669600,,
228,479,202,121743,590787.8376,6136711.476,4,10,1.4,22.377,M,39.413,M,2,0013*7B,,Downspout Grille,Square,,GNSS,,,,1034152760,,
229,478,201,121719.5,590787.6393,6136713.747,4,10,1.3,22.44,M,39.413,M,1.5,0013*73,,Downspout Grille,Square,,GNSS,,,,1034152761,,
230,476,199,121620.35,590770.9821,6136709.887,4,11,1.1,22.377,M,39.413,M,1.4,0013*73,,Downspout Grille,Square,,GNSS,,,,1034152759,,
231,475,198,121604.35,590770.889,6136712.163,4,12,0.9,22.358,M,39.413,M,1.4,0013*77,,Downspout Grille,Square,,GNSS,,,,1034152758,,
232,471,193,121448.4,590753.5689,6136708.352,4,13,0.8,23.282,M,39.413,M,1.4,0013*75,,Downspout Grille,Square,,GNSS,,,,,,
233,469,192,121355,590754.1869,6136710.515,4,11,1.2,22.384,M,39.413,M,2,0013*7C,,Downspout Grille,Square,,GNSS,,,,,,
234,468,191,121318,590737.7165,6136706.635,4,8,1.5,22.437,M,39.413,M,2,0013*79,,Downspout Grille,Square,,GNSS,,,,1034152755,,
235,467,190,121302.4,590737.5648,6136708.926,4,10,1.3,22.362,M,39.413,M,1.4,0013*71,,Downspout Grille,Square,,GNSS,,,,1034152754,,
236,465,188,121213.4,590721.0541,6136705.029,4,12,0.8,22.411,M,39.413,M,1.4,0013*7A,,Downspout Grille,Square,,GNSS,,,,1034152753,,
237,464,187,121146.35,590721.6065,6136707.116,4,5,2.4,22.789,M,39.413,M,1.4,0013*7D,,Downspout Grille,Square,,GNSS,,,,1034152752,,
238,499,184,122551.65,590712.0146,6136692.684,4,12,0.9,22.365,M,39.413,M,0.6,0013*7D,,Downspout Grille,Square,,GNSS,,,,1103669971,,
239,496,182,122413.35,590722.5133,6136689.441,4,9,1.4,22.439,M,39.413,M,1.4,0013*74,,Downspout Grille,Square,,GNSS,,,,1034152771,,
240,497,181,122437.7,590722.6183,6136687.14,4,8,1.5,22.458,M,39.413,M,1.7,0013*79,,Downspout Grille,Square,,GNSS,,,,1034152770,,
241,492,176,122257.25,590740.445,6136689.075,4,12,0.9,23.502,M,39.413,M,1.3,0013*74,,Downspout Grille,Square,,GNSS,,,,1034152769,,
242,491,173,122238.9,590740.0354,6136691.111,4,13,0.9,23.458,M,39.413,M,1.9,0013*76,,Downspout Grille,Square,,GNSS,,,,,,
243,488,171,122142.75,590757.1305,6136692.673,4,12,1.1,23.304,M,39.413,M,0.8,0013*74,,Downspout Grille,Square,,GNSS,,,,,,
244,487,169,122041.3,590757.3583,6136690.538,4,11,1.3,22.416,M,39.413,M,1.3,0013*75,,Downspout Grille,Square,,GNSS,,,,1034152768,,
245,485,167,121952.7,590772.7903,6136694.323,4,11,1.3,22.387,M,39.413,M,0.7,0013*7B,,Downspout Grille,Square,,GNSS,,,,1034152766,,
246,486,166,122010.8,590772.8684,6136692.036,4,8,1.6,22.445,M,39.413,M,0.8,0013*79,,Downspout Grille,Square,,GNSS,,,,1034152767,,
247,482,164,121857.85,590789.4161,6136695.891,4,9,1.5,22.461,M,39.413,M,0.9,0013*74,,Downspout Grille,Square,,GNSS,,,,1034152764,,
248,483,163,121909.45,590789.6107,6136693.646,4,9,1.5,22.4,M,39.413,M,1.5,0013*73,,Downspout Grille,Square,,GNSS,,,,1034152765,,
249,295,160,103239,590802.6699,6136679.758,4,10,1.2,23.361,M,39.415,M,1,0000*75,,Downspout Grille,Round,,GNSS,,,,,,
250,515,159,123111.75,590790.5087,6136680.724,4,10,1.3,22.399,M,39.413,M,1.8,0013*7F,,Downspout Grille,Square,,GNSS,,,,1034152780,,
251,511,157,123035.7,590774.1406,6136679.107,4,9,1.6,22.299,M,39.413,M,1.7,0013*7F,,Downspout Grille,Square,,GNSS,,,,1034152778,,
252,510,156,123013.4,590759.2354,6136677.697,4,10,1,22.418,M,39.413,M,1.4,0013*7A,,Downspout Grille,Square,,GNSS,,,,1034152776,,
253,508,155,122935.1,590740.6173,6136675.886,4,8,1.4,22.347,M,39.413,M,1.1,0013*7C,,Downspout Grille,Square,,GNSS,,,,1034152775,,
254,507,154,122912.35,590727.6166,6136674.633,4,10,1.3,22.354,M,39.413,M,1.4,0013*78,,Downspout Grille,Square,,GNSS,,,,1034152773,,
255,506,152,122843.05,590713.9406,6136673.26,4,11,1.2,22.347,M,39.413,M,1,0013*78,,Downspout Grille,Square,,GNSS,,,,1103669990,,
256,385,151,112821.55,590705.2847,6136738.289,4,14,0.8,23.391,M,39.413,M,1.5,0007*7D,,Downspout Grille,Round,,GNSS,,,,1034152748,,
257,434,149,115605.3,590679.4624,6136744.452,4,12,1.2,23.414,M,39.413,M,1.3,0013*79,,Downspout Grille,Round,,GNSS,,,,,,
258,433,147,115533.9,590695.5747,6136746.041,4,15,0.8,23.413,M,39.413,M,0.9,0013*78,,Downspout Grille,Round,,GNSS,,,,,,
259,421,139,114908.15,590658.5225,6136791.911,4,9,1.4,24.602,M,39.413,M,1.1,0013*74,,Downspout Grille,Round,,GNSS,,,,,,
260,413,131,114511.15,590654.1068,6136741.977,4,10,1.6,23.442,M,39.413,M,1.1,0013*7D,,Downspout Grille,Square,,GNSS,,,,1034152870,,
261,412,129,114448.8,590654.7221,6136733.473,4,12,0.9,23.477,M,39.413,M,1.8,0013*75,,Downspout Grille,Square,,GNSS,,,,1034152871,,
262,411,128,114303.3,590646.4833,6136732.546,4,9,1.9,23.556,M,39.413,M,3.3,0007*7B,,Downspout Grille,Square,,GNSS,,,,,,
263,350,54,110952.45,590715.2722,6136649.444,4,15,0.8,23.531,M,39.413,M,1.5,0007*72,,Downspout Grille,Square,,GNSS,,,,,,
264,337,53,105107.1,590728.6674,6136661.459,4,11,1.2,23.424,M,39.415,M,1.1,0000*73,,Downspout Grille,Square,,GNSS,,,,1034152772,,
265,335,52,105023.9,590734.6879,6136662.049,4,11,1.2,23.386,M,39.415,M,1.9,0000*79,,Downspout Grille,Square,,GNSS,,,,1103670043,,
266,342,47,105312.55,590722.6661,6136660.888,4,12,0.9,23.435,M,39.415,M,1.5,0000*7F,,Downspout Grille,Square,,GNSS,,,,1103669749,,
267,330,37,104636.05,590740.5949,6136662.703,4,11,1.2,23.42,M,39.415,M,1,0000*7B,,Downspout Grille,Square,,GNSS,,,,1034152774,,
268,319,31,104235.35,590760.0755,6136664.469,4,11,1.2,23.404,M,39.415,M,1.4,0000*7E,,Downspout Grille,Square,,GNSS,,,,1103669774,,
269,310,30,103911.85,590765.9684,6136665.041,4,12,1,23.413,M,39.415,M,0.9,0000*77,,Downspout Grille,Square,,GNSS,,,,1103669436,,
270,306,28,103757.55,590772.0176,6136665.591,4,12,1,23.419,M,39.415,M,1.5,0000*79,,Downspout Grille,Square,,GNSS,,,,1034152777,,
271,301,25,103522.7,590782.3179,6136666.546,4,11,1,23.366,M,39.415,M,0.7,0000*7F,,Downspout Grille,Square,,GNSS,,,,1103669907,,
272,294,22,103106.25,590804.152,6136658.267,4,12,0.9,23.349,M,39.415,M,1.3,0000*7D,,Downspout Grille,Round,,GNSS,,,,,,
273,419,136,114800.35,590660.0489,6136757.579,4,6,29.3,24.147,M,39.413,M,10.4,0013*78,,Chimney,,Big and grey,GNSS,,,,1095519974,,
274,418,135,114751.45,590659.9494,6136759.057,4,6,28.5,24.068,M,39.413,M,1.5,0013*4F,,Chimney,,Big and grey,GNSS,,,,1095519963,,
275,586,308,131757.75,590649.6067,6136722.683,4,7,2.9,24.043,M,39.413,M,1.8,0013*78,,Building Corner,,,GNSS,,,,,,
276,397,116,113554.65,590661.1188,6136721.34,4,13,0.9,24.392,M,39.413,M,1.6,0007*70,,Bench,,,GNSS,,,,,,
277,393,102,113240.4,590668.743,6136714.414,4,15,0.8,24.659,M,39.413,M,1.4,0007*76,,Bench,,,GNSS,,,,,,
278,355,62,111218.25,590703.1341,6136648.386,4,13,1,23.915,M,39.413,M,1.3,0007*72,,Bench,,,GNSS,,,,,,
279,324,38,104428.6,590746.5513,6136657.101,4,10,1.3,23.924,M,39.415,M,1.6,0000*77,,Bench,,,GNSS,,,,,,
280,325,34,104451.45,590745.197,6136662.96,4,11,1.2,23.935,M,39.415,M,1.5,0000*7E,,Bench,,,GNSS,,,,,,
281,326,33,104510.75,590743.8478,6136668.817,4,13,0.9,23.924,M,39.415,M,1.8,0000*77,,Bench,,,GNSS,,,,,,
